occ_sum input_sum
681.6464 883.456736601515
682.6464 884.529857837323
683.6464 885.602400838715
684.6464 886.674365605693
685.6464 887.745752138256
686.6464 888.816560436404
687.6464 889.886790500138
688.6464 890.956442329456
689.6464 892.02551592436
690.6464 893.094011284849
691.6464 894.161928410923
692.6464 895.229267302583
693.6464 896.296027959827
694.6464 897.362210382657
695.6464 898.427814571072
696.6464 899.492840525072
697.6464 900.557288244657
698.6464 901.621157729828
699.6464 902.684448980584
700.6464 903.747161996925
701.6464 904.809296778851
702.6464 905.870853326362
703.6464 906.931831639459
704.6464 907.99223171814
705.6464 909.052053562407
706.6464 910.111297172259
707.6464 911.169962547697
708.6464 912.228049688719
709.6464 913.285558595327
710.6464 914.342489267519
711.6464 915.398841705298
712.6464 916.454615908661
713.6464 917.509811877609
714.6464 918.564429612143
715.6464 919.618469112262
716.6464 920.671930377966
717.6464 921.724813409255
718.6464 922.77711820613
719.6464 923.828844768589
720.6464 924.879993096634
721.6464 925.930563190264
722.6464 926.980555049479
723.6464 928.02996867428
724.6464 929.078804064665
725.6464 930.127061220636
726.6464 931.174740142192
727.6464 932.221840829333
728.6464 933.268363282059
729.6464 934.314307500371
730.6464 935.359673484268
731.6464 936.40446123375
732.6464 937.448670748817
733.6464 938.492302029469
734.6464 939.535355075707
735.6464 940.57782988753
736.6464 941.619726464937
737.6464 942.661044807931
738.6464 943.701784916509
739.6464 944.741946790672
740.6464 945.781530430421
741.6464 946.820535835755
742.6464 947.858963006674
743.6464 948.896811943178
744.6464 949.934082645268
745.6464 950.970775112942
746.6464 952.006889346202
747.6464 953.042425345047
748.6464 954.077383109478
749.6464 955.111762639493
750.6464 956.145563935094
751.6464 957.17878699628
752.6464 958.211431823051
753.6464 959.243498415407
754.6464 960.274986773348
755.6464 961.305896896875
756.6464 962.336228785987
757.6464 963.365982440684
758.6464 964.395157860966
759.6464 965.423755046833
760.6464 966.451773998286
761.6464 967.479214715324
762.6464 968.506077197947
763.6464 969.532361446155
764.6464 970.558067459948
765.6464 971.583195239327
766.6464 972.607744784291
767.6464 973.631716094839
768.6464 974.655109170974
769.6464 975.677924012693
770.6464 976.700160619997
771.6464 977.721818992887
772.6464 978.742899131362
773.6464 979.763401035422
774.6464 980.783324705068
775.6464 981.802670140298
776.6464 982.821437341114
777.6464 983.839626307515
778.6464 984.857237039501
779.6464 985.874269537072
780.6464 986.890723800228
781.6464 987.90659982897
782.6464 988.921897623297
783.6464 989.936617183209
784.6464 990.950758508706
785.6464 991.964321599789
786.6464 992.977306456456
787.6464 993.989713078709
788.6464 995.001541466547
789.6464 996.01279161997
790.6464 997.023463538979
791.6464 998.033557223573
792.6464 999.043072673751
793.6464 1000.05200988952
794.6464 1001.06036887086
795.6464 1002.0681496178
796.6464 1003.07535213032
797.6464 1004.08197640842
798.6464 1005.08802245211
799.6464 1006.09349026139
800.6464 1007.09837983625
801.6464 1008.10269117669
802.6464 1009.10642428273
803.6464 1010.10957915434
804.6464 1011.11215579154
805.6464 1012.11415419433
806.6464 1013.1155743627
807.6464 1014.11641629666
808.6464 1015.1166799962
809.6464 1016.11636546133
810.6464 1017.11547269204
811.6464 1018.11400168834
812.6464 1019.11195245022
813.6464 1020.10932497769
814.6464 1021.10611927074
815.6464 1022.10233532938
816.6464 1023.0979731536
817.6464 1024.09303274341
818.6464 1025.0875140988
819.6464 1026.08141721978
820.6464 1027.07474210635
821.6464 1028.0674887585
822.6464 1029.05965717623
823.6464 1030.05124735955
824.6464 1031.04225930846
825.6464 1032.03269302295
826.6464 1033.02254850302
827.6464 1034.01182574868
828.6464 1035.00052475993
829.6464 1035.98864553676
830.6464 1036.97618807918
831.6464 1037.96315238718
832.6464 1038.94953846076
833.6464 1039.93534629994
834.6464 1040.92057590469
835.6464 1041.90522727503
836.6464 1042.88930041096
837.6464 1043.87279531247
838.6464 1044.85571197957
839.6464 1045.83805041225
840.6464 1046.81981061052
841.6464 1047.80099257438
842.6464 1048.78159630381
843.6464 1049.76162179884
844.6464 1050.74106905945
845.6464 1051.71993808564
846.6464 1052.69822887742
847.6464 1053.67594143479
848.6464 1054.65307575774
849.6464 1055.62963184627
850.6464 1056.60560970039
851.6464 1057.5810093201
852.6464 1058.55583070539
853.6464 1059.53007385626
854.6464 1060.50373877272
855.6464 1061.47682545477
856.6464 1062.4493339024
857.6464 1063.42126411562
858.6464 1064.39261609442
859.6464 1065.3633898388
860.6464 1066.33358534878
861.6464 1067.30320262433
862.6464 1068.27224166548
863.6464 1069.2407024722
864.6464 1070.20858504452
865.6464 1071.17588938241
866.6464 1072.1426154859
867.6464 1073.10876335497
868.6464 1074.07433298962
869.6464 1075.03932438986
870.6464 1076.00373755568
871.6464 1076.96757248709
872.6464 1077.93082918409
873.6464 1078.89350764667
874.6464 1079.85560787483
875.6464 1080.81712986858
876.6464 1081.77807362792
877.6464 1082.73843915284
878.6464 1083.69822644334
879.6464 1084.65743549943
880.6464 1085.61606632111
881.6464 1086.57411890837
882.6464 1087.53159326122
883.6464 1088.48848937965
884.6464 1089.44480726366
885.6464 1090.40054691327
886.6464 1091.35570832845
887.6464 1092.31029150923
888.6464 1093.26429645558
889.6464 1094.21772316753
