#acc_value	delta_value	duration_ns	duration_samples
14099302340694	42119	40075008	10629
14099302382829	42135	40075507	10625
14099302424940	42111	40075974	10622
14099302467096	42156	40075436	10631
14099302509277	42181	40074327	10621
14099302551465	42188	40077732	10630
14099302593695	42230	40071829	10628
14099302635936	42241	40078669	10626
14099302678128	42192	40073667	10632
14099302720203	42075	40073606	10628
14099302762230	42027	40075103	10623
14099302804310	42080	40077497	10630
14099302846412	42102	40073366	10550
14099302888488	42076	40076328	10631
14099302930614	42126	40076536	10622
14099302972710	42096	40074401	10628
14099303014822	42112	40074259	10624
14099303056951	42129	40077813	10618
14099303099028	42077	40073277	10622
14099303141088	42060	40075206	10629
14099303183133	42045	40074358	10623
14099303225190	42057	40077044	10618
14099303267293	42103	40072392	10622
14099303309399	42106	40077075	10631
14099303351456	42057	40075909	10626
14099303393550	42094	40075175	10628
14099303435636	42086	40075946	10628
14099303477696	42060	40073300	10629
14099303519756	42060	40076616	10629
14099303561837	42081	40075277	10629
14099303603903	42066	40073727	10627
14099303646159	42256	40078761	10622
14099303688419	42260	40074120	10613
14099303730519	42100	40073523	10625
14099303772849	42330	40077108	10633
14099303814990	42141	40074663	10636
14099303857107	42117	40073196	10637
14099303899220	42113	40076337	10622
14099303941281	42061	40074322	10623
14099303983405	42124	40075059	10629
14099304025555	42150	40074478	10624
14099304067702	42147	40079803	10628
14099304109847	42145	40071773	10625
14099304151987	42140	40076417	10622
14099304194276	42289	40075897	10623
14099304236592	42316	40075790	10634
14099304278835	42243	40072316	10631
14099304321087	42252	40076909	10621
14099304363286	42199	40075897	10632
14099304405450	42164	40075490	10630
14099304447599	42149	40074708	10635
14099304489733	42134	40075501	10624
14099304531800	42067	40073065	10639
14099304573872	42072	40076544	10625
14099304615968	42096	40075626	10622
14099304658128	42160	40075243	10633
14099304700268	42140	40075788	10632
14099304742349	42081	40074021	10626
14099304784385	42036	40073677	10628
14099304826459	42074	40079700	10634
14099304868550	42091	40072946	10636
14099304910619	42069	40076132	10632
14099304952713	42094	40074612	10627
14099304994758	42045	40074117	10640
14099305036843	42085	40075625	10632
14099305078927	42084	40075744	10628
14099305121002	42075	40075954	10630
14099305163161	42159	40074403	10635
14099305205216	42055	40074591	10630
14099305247339	42123	40075767	10634
14099305289306	41967	40073963	10626
14099305331387	42081	40077421	10632
14099305373513	42126	40075079	10621
14099305415597	42084	40074275	10630
14099305457673	42076	40075118	10629
14099305499809	42136	40077716	10628
14099305542005	42196	40073450	10632
14099305584138	42133	40074759	10626
14099305626330	42192	40075923	10628
14099305668540	42210	40075833	10635
14099305710713	42173	40073245	10625
14099305752934	42221	40075059	10631
14099305795057	42123	40076941	10623
14099305837175	42118	40075757	10637
14099305879256	42081	40073968	10638
14099305921400	42144	40077125	10629
14099305963496	42096	40072933	10631
14099306005608	42112	40074890	10637
14099306047734	42126	40074440	10635
14099306089898	42164	40076654	10630
14099306131986	42088	40075483	10620
14099306174144	42158	40076423	10632
14099306216195	42051	40072310	10634
14099306258292	42097	40077694	10632
14099306300324	42032	40073290	10635
14099306342459	42135	40078546	10645
14099306384568	42109	40073798	10630
14099306426736	42168	40074604	10618
14099306468843	42107	40074644	10626
14099306511032	42189	40077596	10630
14099306553111	42079	40074849	10638
14099306595296	42185	40075653	10627
14099306637367	42071	40074118	10633
14099306679490	42123	40078099	10628
14099306721770	42280	40071392	10624
14099306764431	42661	40077874	10631
14099306806585	42154	40071999	10633
14099306848799	42214	40078634	10623
14099306890887	42088	40071282	10628
14099306932989	42102	40077440	10629
14099306975069	42080	40074226	10639
14099307017132	42063	40077017	10633
14099307059187	42055	40074124	10636
14099307101234	42047	40075290	10628
14099307143277	42043	40074741	10638
14099307185353	42076	40075249	10628
14099307227341	41988	40075364	10620
14099307269376	42035	40075536	10635
14099307311387	42011	40075697	10629
14099307353369	41982	40076870	10620
14099307395406	42037	40071124	10635
14099307437449	42043	40078936	10619
14099307479483	42034	40073488	10626
14099307521543	42060	40077872	10626
14099307563589	42046	40072327	10632
14099307605637	42048	40077888	10638
14099307647710	42073	40074936	10635
14099307689798	42088	40075780	10632
14099307731899	42101	40072950	10641
14099307773945	42046	40076392	10637
14099307815985	42040	40075327	10639
14099307858013	42028	40072923	10633
14099307900047	42034	40075747	10634
14099307942115	42068	40078198	10630
14099307984149	42034	40072504	10632
14099308026212	42063	40075731	10634
14099308068282	42070	40074983	10630
14099308110364	42082	40077603	10627
14099308152465	42101	40071259	10623
14099308194564	42099	40077631	10633
14099308236605	42041	40072812	10636
14099308278634	42029	40077577	10628
14099308320631	41997	40075384	10623
