#sensor_value	delta_value	duration_ns	duration_samples
523000000	5000000	40070127	9384
528000000	5000000	40075329	9381
526000000	2000000	40074782	9386
530000000	4000000	160303139	37553
528000000	2000000	80150872	18785
526000000	2000000	40075223	9376
528000000	2000000	120224680	28164
530000000	2000000	40075879	9380
528000000	2000000	80148419	18771
530000000	2000000	40076694	9374
528000000	2000000	40076882	9388
530000000	2000000	80146811	18779
528000000	2000000	40078046	9379
530000000	2000000	40073821	9400
528000000	2000000	40077260	9347
526000000	2000000	40071383	9383
528000000	2000000	40075874	9389
526000000	2000000	40076684	9388
528000000	2000000	40075774	9386
530000000	2000000	40075335	9384
528000000	2000000	200376018	46961
526000000	2000000	40073403	9386
524000000	2000000	40075063	9380
528000000	4000000	40077718	9380
530000000	2000000	40073440	9388
528000000	2000000	40076155	9381
532000000	4000000	40074545	9394
541000000	9000000	40074610	9384
530000000	11000000	80153210	18769
535000000	5000000	80148431	18770
537000000	2000000	40077473	9385
530000000	7000000	200375016	46904
532000000	2000000	40073210	9387
535000000	3000000	80151222	18772
533000000	2000000	80152921	18790
530000000	3000000	40073135	9390
533000000	3000000	40077159	9387
528000000	5000000	120224437	28142
532000000	4000000	40076598	9389
533000000	1000000	120223451	28181
530000000	3000000	80155808	18782
528000000	2000000	80146240	18763
530000000	2000000	40073039	9391
533000000	3000000	120226920	28152
535000000	2000000	40075581	9371
533000000	2000000	80152858	18753
530000000	3000000	40072710	9385
533000000	3000000	40076284	9397
530000000	3000000	120224024	28165
528000000	2000000	280527495	65707
530000000	2000000	80151930	18779
528000000	2000000	80151836	18760
530000000	2000000	40071793	9373
528000000	2000000	40078440	9388
526000000	2000000	80146806	18781
528000000	2000000	80153310	18772
526000000	2000000	40074024	9380
528000000	2000000	40074805	9387
530000000	2000000	40078270	9387
528000000	2000000	40072296	9392
532000000	4000000	40075362	9383
528000000	4000000	40077111	9378
530000000	2000000	40072372	9380
528000000	2000000	40077670	9393
526000000	2000000	80148972	18773
530000000	4000000	80152918	18775
528000000	2000000	40072977	9386
530000000	2000000	40074887	9392
526000000	4000000	40076817	9389
528000000	2000000	40073155	9379
530000000	2000000	40075819	9375
528000000	2000000	40075873	9388
526000000	2000000	80146115	18786
528000000	2000000	40078426	9401
526000000	2000000	40078432	9386
528000000	2000000	40073348	9390
533000000	5000000	40076655	9397
528000000	5000000	120224760	28174
530000000	2000000	120225287	28188
528000000	2000000	120226289	28175
526000000	2000000	80151327	18769
528000000	2000000	160298705	37400
526000000	2000000	40074985	9377
524000000	2000000	40074743	9389
521000000	3000000	40076270	9382
526000000	5000000	200377055	46947
524000000	2000000	120224164	28146
526000000	2000000	40078337	9402
528000000	2000000	40074235	9399
533000000	5000000	40073385	9381
528000000	5000000	40078296	9395
532000000	4000000	40071348	9390
530000000	2000000	120226498	28155
526000000	4000000	80155137	18758
530000000	4000000	40073077	9375
528000000	2000000	80150747	18785
530000000	2000000	80149224	18778
528000000	2000000	40076540	9380
526000000	2000000	40074436	9390
528000000	2000000	40075872	9372
532000000	4000000	40076254	9391
528000000	4000000	40074719	9391
530000000	2000000	40074858	9386
532000000	2000000	40072542	9375
537000000	5000000	40078463	9389
535000000	2000000	40071632	9388
532000000	3000000	80150604	18770
530000000	2000000	40075685	9383
533000000	3000000	40077215	9379
528000000	5000000	40074276	9381
530000000	2000000	40077708	9382
