#acc_value	delta_value	duration_ns	duration_samples
14099083082512	43309	40066716	3711
14099083125833	43321	40082649	3712
14099083169127	43294	40071165	3712
14099083212437	43310	40078881	3713
14099083255730	43293	40071153	3712
14099083299102	43372	40075923	3712
14099083342417	43315	40078574	3716
14099083385705	43288	40075735	3713
14099083429078	43373	40066188	3714
14099083472388	43310	40081180	3715
14099083515620	43232	40070929	3713
14099083558892	43272	40080717	3712
14099083602189	43297	40070167	3713
14099083645519	43330	40079961	3712
14099083688839	43320	40072198	3710
14099083732226	43387	40084301	3715
14099083775574	43348	40069265	3711
14099083818940	43366	40071809	3715
14099083862274	43334	40069483	3713
14099083905614	43340	40083453	3713
14099083949003	43389	40077015	3711
14099083992417	43414	40073010	3714
14099084035730	43313	40075686	3715
14099084079110	43380	40072294	3712
14099084122371	43261	40076375	3711
14099084165700	43329	40077761	3713
14099084209007	43307	40076135	3715
14099084252390	43383	40074879	3711
14099084295725	43335	40075063	3713
14099084339142	43417	40080368	3714
14099084382546	43404	40065972	3709
14099084426013	43467	40076932	3713
14099084469335	43322	40076942	3712
14099084512677	43342	40075061	3716
14099084556033	43356	40077717	3717
14099084599337	43304	40075788	3712
14099084642944	43607	40074389	3714
14099084686216	43272	40077334	3715
14099084729065	42849	40062816	3713
14099084771981	42916	40080016	3715
14099084814895	42914	40080231	3715
14099084857792	42897	40076817	3715
14099084900726	42934	40064288	3713
14099084943651	42925	40085998	3715
14099084986566	42915	40073319	3710
14099085029496	42930	40074305	3713
14099085072396	42900	40069341	3712
14099085115239	42843	40079823	3714
14099085158091	42852	40068809	3721
14099085200990	42899	40083199	3725
14099085243854	42864	40072233	3716
14099085286675	42821	40074628	3718
14099085329514	42839	40077000	3715
14099085372358	42844	40077313	3711
14099085415188	42830	40068458	3711
14099085458022	42834	40078024	3714
14099085500832	42810	40074440	3714
14099085543682	42850	40076743	3715
14099085586556	42874	40073161	3715
14099085629565	43009	40077639	3715
14099085672632	43067	40072575	3716
14099085715614	42982	40083012	3717
14099085758573	42959	40073561	3718
14099085801484	42911	40079147	3713
14099085844314	42830	40068458	3711
14099085887186	42872	40081690	3713
14099085930146	42960	40071412	3712
14099085973039	42893	40074270	3714
14099086015894	42855	40068784	3713
14099086058789	42895	40079128	3713
14099086101766	42977	40071159	3711
14099086144687	42921	40084100	3714
14099086187576	42889	40065678	3711
14099086230508	42932	40078459	3712
14099086273322	42814	40075183	3711
14099086316105	42783	40076803	3710
14099086358814	42709	40071275	3711
14099086401564	42750	40078418	3715
14099086444268	42704	40077910	3714
14099086487016	42748	40074604	3712
14099086529734	42718	40070824	3698
14099086572501	42767	40083724	3715
14099086615286	42785	40071271	3713
14099086658056	42770	40081418	3712
14099086700833	42777	40062979	3712
14099086743634	42801	40083008	3716
14099086786426	42792	40077856	3714
14099086829288	42862	40072339	3713
14099086872056	42768	40075643	3711
14099086914861	42805	40072991	3715
14099086957626	42765	40069780	3712
14099087000381	42755	40079446	3712
14099087043143	42762	40077227	3711
14099087085889	42746	40076319	3715
14099087128627	42738	40076475	3716
14099087171333	42706	40077294	3722
14099087214075	42742	40071580	3719
14099087256747	42672	40079633	3716
14099087299488	42741	40072628	3714
14099087342212	42724	40071887	3712
14099087384932	42720	40069960	3714
14099087427645	42713	40084660	3714
14099087470430	42785	40075888	3712
14099087513192	42762	40075530	3713
14099087555993	42801	40074227	3711
14099087598804	42811	40074973	3713
14099087641581	42777	40073512	3711
14099087684383	42802	40077575	3714
14099087727141	42758	40074885	3712
14099087770540	43399	40076136	3712
14099087814407	43867	40066090	3712
14099087857913	43506	40087579	3710
14099087901377	43464	40070740	3710
14099087944824	43447	40073909	3713
14099087988283	43459	40073241	3712
14099088031706	43423	40082440	3715
14099088075120	43414	40066138	3710
14099088118502	43382	40080131	3712
14099088161896	43394	40076580	3710
14099088205274	43378	40075833	3714
14099088248696	43422	40067249	3718
14099088292077	43381	40084629	3711
14099088335466	43389	40070091	3712
14099088378886	43420	40072328	3708
14099088422325	43439	40073456	3716
14099088465774	43449	40079622	3711
14099088509236	43462	40074948	3711
14099088552705	43469	40077213	3712
14099088596125	43420	40069409	3713
14099088639527	43402	40078055	3714
14099088682976	43449	40072917	3712
14099088726334	43358	40085256	3714
14099088769710	43376	40067329	3711
14099088813177	43467	40077877	3713
14099088856562	43385	40074040	3711
14099088899960	43398	40082405	3716
14099088943419	43459	40070725	3715
14099088986891	43472	40072211	3715
14099089030322	43431	40075565	3714
14099089073710	43388	40081155	3716
14099089117064	43354	40068958	3714
14099089160510	43446	40077577	3710
14099089203890	43380	40072609	3710
14099089247329	43439	40077532	3712
14099089290690	43361	40076749	3715
