#sensor_value	delta_value	duration_ns	duration_samples
524	2	40076458	10638
526	2	120224927	31901
524	2	40074565	10631
526	2	80153408	21262
524	2	40073371	10624
526	2	40075415	10633
528	2	40073335	10626
526	2	80152011	21269
524	2	40075357	10630
528	4	40073286	10628
526	2	80150219	21261
521	5	40078036	10631
526	5	80151138	21278
524	2	40074630	10635
526	2	120226335	31874
524	2	40071828	10632
522	2	40077213	10635
524	2	80150458	21256
526	2	40074757	10635
524	2	40074875	10626
522	2	40077281	10626
524	2	40073350	10629
526	2	40075120	10636
524	2	40075203	10633
526	2	40075127	10639
524	2	40075673	10627
528	4	40074578	10632
526	2	120226539	31900
524	2	120225455	31908
526	2	240452414	63786
524	2	40076352	10636
526	2	120223259	31895
528	2	40075470	10637
526	2	40074917	10628
528	2	40078977	10628
526	2	120222974	31877
524	2	120225181	31897
526	2	40078243	10638
528	2	120223907	31894
530	2	40072783	10633
528	2	40079426	10640
526	2	40073787	10639
528	2	120225159	31892
530	2	40075987	10623
528	2	80147947	21264
530	2	40078312	10633
528	2	40073057	10625
526	2	80152128	21259
528	2	80149068	21260
526	2	40078329	10631
524	2	40070817	10629
526	2	80152016	21257
523	3	40078055	10640
524	1	40071082	10639
528	4	120227374	31891
526	2	40076481	10630
528	2	120226011	31879
526	2	40075052	10630
524	2	40073366	10627
528	4	40075890	10634
526	2	40074391	10630
524	2	40074540	10624
528	4	40079249	10636
530	2	40072640	10633
528	2	80150250	21265
526	2	80148660	21254
530	4	40077351	10637
526	4	40073372	10631
528	2	40079344	10637
525	3	40071218	10625
526	1	40078671	10622
524	2	40073394	10629
526	2	40075319	10628
521	5	40076267	10630
524	3	80153994	21270
526	2	80144570	21253
524	2	80151870	21253
526	2	80151826	21261
524	2	80148742	21275
526	2	40078130	10628
528	2	40073423	10627
526	2	40075104	10626
524	2	40074178	10636
526	2	80151462	21259
522	4	40076932	10633
524	2	40072232	10621
526	2	80150342	21253
528	2	40077298	10630
526	2	120224784	31890
524	2	40076643	10620
521	3	40074396	10633
526	5	80149445	21253
528	2	160302799	42528
524	4	40074517	10634
526	2	80150656	21193
524	2	240450517	63784
526	2	40075353	10633
528	2	40075511	10622
526	2	200377454	53164
524	2	120225693	31897
526	2	40075678	10626
524	2	80148957	21271
526	2	80150176	21267
528	2	40077649	10628
526	2	40071593	10631
524	2	40076044	10630
528	4	120225489	31897
524	4	40078138	10627
528	4	80149824	21257
526	2	40075730	10629
524	2	40075288	10632
526	2	40075702	10629
528	2	40074790	10631
526	2	80149991	21258
524	2	40072688	10633
526	2	160301246	42516
528	2	120226411	31904
526	2	40073980	10635
524	2	40077467	10636
526	2	200374015	53165
528	2	40078862	10634
526	2	80151167	21257
524	2	80149933	21268
526	2	120224552	31889
528	2	160300303	42526
530	2	40077712	10635
532	2	40071590	10622
530	2	40078081	10628
528	2	40076443	10628
526	2	40074942	10632
528	2	40072408	10629
526	2	160300189	42500
528	2	40077763	10630
526	2	80149578	21250
528	2	40072929	10619
524	4	200379631	53139
526	2	40072718	10624
524	2	40076412	10624
526	2	80149911	21260
528	2	40074732	10625
526	2	40078145	10627
528	2	40072136	10628
537	9	40082210	10639
528	9	80146194	21263
530	2	80149883	21260
526	4	240451023	63773
530	4	80151303	21253
528	2	80149418	21265
526	2	160302017	42514
528	2	200373673	53150
526	2	40079431	10631
521	5	80148080	21260
526	5	120227438	31905
528	2	40080798	10630
530	2	80144990	21251
526	4	40073699	10626
524	2	40075763	10633
526	2	40073161	10630
